
No Answer,9,1972
ELO 2,5,1973
On the Third Day,9,1973
The Night the Light Went On in Long Beach (Live),7,1974
Eldorado,10,1974
Showdown (Live),8,1974
Face the Music,8,1975
Ole ELO,9,1976
A New World Record,9,1976
The Light Shines On,9,1977
Out of the Blue,9,1977
Three Light Years,26,1978
The Light Shines On Vol 2,9,1979
Discovery,9,1979
ELO's Greatest Hits,11,1979
A Box of Their Best,35,1980
Xanadu (Feat. Olivia Newton John),10,1980
Four Light Years,35,1980
Time,13,1981
Secret Messages,10,1983
Balance of Power,10,1986
Afterglow,47,1990
Elo's Greatest Hits Vol 2,16,1992
The Very Best of the Electric Light Orchestra,18,1994
Strange Magic: The Best of Electric Light Orchestra,29,1995
Light Years: The Very Best of Electric Light Orchestra,38,1997
Live at Wembley '78,15,1998
Live at Winterland '76,10,1998
Definitive Collection,27,1999
Live at the BBC,22,1999
Flashback,53,2000
The Ultimate Collection,38,Ma2001
Zoom,13,2001
The Electric Light Orchestra (First Light Series),21,2001
ELO 2 (First Light Series),23,2003
The Essential Electric Light Orchestra,15,2003
All Over the World: The Very Best of Electric Light Orchestra,20,2005
Ticket to the Moon: The Very Best of Electric Light Orchestra Vol 2,20,2007
2011 Edition,37,2011
Mr. Blue Sky: The Very Best of Electric Light Orchestra,12,2012
Electric Light Orchestra Live,11,2013
Alone In the Universe,11,2015
From Out of Nowhere,10,2019
